ts_event,publisher_id,product_id,open,high,low,close,volume
1647302400000000000,1,5782,4182000000000,4271500000000,4138000000000,4256750000000,391704
1647302400000000000,1,3541,13107750000000,13489000000000,12944000000000,13457750000000,206867
1647302400000000000,1,3541,13107750000000,13489000000000,12944000000000,13457750000000,206867
1647302400000000000,1,3403,4173250000000,4263250000000,4129500000000,4248500000000,1404718
1647388800000000000,1,3541,13456750000000,14029250000000,13420500000000,13981500000000,219784
1647388800000000000,1,3403,4248500000000,4367500000000,4239000000000,4357000000000,1670380
1647388800000000000,1,3403,4248500000000,4367500000000,4239000000000,4357000000000,1670380
1647388800000000000,1,2895,13453750000000,14025750000000,13417250000000,13978250000000,607968
1647475200000000000,1,3403,4356750000000,4406750000000,4320250000000,4379500000000,1219960
1647475200000000000,1,2895,13977250000000,14132500000000,13819000000000,14023750000000,497040
1647561600000000000,1,3403,4379750000000,4465750000000,4364500000000,4465000000000,1281765
1647561600000000000,1,2895,14023750000000,14442750000000,13966500000000,14435250000000,535212
1647734400000000000,1,3403,4460000000000,4463250000000,4451250000000,4452250000000,17744
1647734400000000000,1,2895,14404000000000,14435000000000,14402250000000,14404500000000,8722
1647820800000000000,1,3403,4452250000000,4473000000000,4415000000000,4445500000000,1314262
1647820800000000000,1,2895,14405000000000,14466750000000,14183750000000,14341500000000,576786
1647907200000000000,1,3403,4445250000000,4514750000000,4433000000000,4509750000000,1173943
1647907200000000000,1,2895,14340750000000,14690750000000,14293500000000,14666500000000,503735
1647993600000000000,1,3403,4509750000000,4514000000000,4444750000000,4452500000000,1251258
1647993600000000000,1,2895,14666000000000,14682250000000,14441000000000,14474500000000,541516
1648080000000000000,1,3403,4452500000000,4517500000000,4445750000000,4510000000000,1184636
1648080000000000000,1,2895,14474750000000,14775750000000,14433500000000,14749750000000,510618
1648166400000000000,1,3403,4510000000000,4539000000000,4493250000000,4536000000000,1182347
1648166400000000000,1,2895,14750500000000,14840500000000,14572500000000,14752500000000,539648
1648339200000000000,1,3403,4535250000000,4540000000000,4526500000000,4526500000000,15056
1648339200000000000,1,2895,14756000000000,14779500000000,14720000000000,14721750000000,8223
1648425600000000000,1,3403,4526500000000,4572250000000,4509750000000,4567750000000,1135391
1648425600000000000,1,2895,14720000000000,14997000000000,14658750000000,14972750000000,524816
1648512000000000000,1,3403,4568000000000,4631000000000,4565250000000,4621500000000,1316005
1648512000000000000,1,2895,14973750000000,15268750000000,14956500000000,15222250000000,548536
1648598400000000000,1,3403,4621500000000,4627500000000,4574750000000,4598750000000,1145407
1648598400000000000,1,2895,15221250000000,15262250000000,15012250000000,15103750000000,503177
1648684800000000000,1,3403,4599000000000,4614250000000,4526250000000,4542500000000,1527331
1648684800000000000,1,2895,15104000000000,15180750000000,14855500000000,14912000000000,550756
1648771200000000000,1,3403,4542500000000,4555500000000,4501250000000,4538500000000,1364297
1648771200000000000,1,2895,14912750000000,14960000000000,14725000000000,14852250000000,529892
1648944000000000000,1,3403,4538250000000,4541500000000,4529000000000,4530750000000,9953
1648944000000000000,1,2895,14846000000000,14861000000000,14809750000000,14818000000000,6517
1649030400000000000,1,3403,4531000000000,4580000000000,4527750000000,4573250000000,983373
1649030400000000000,1,2895,14819250000000,15174500000000,14801000000000,15152000000000,448432
1649116800000000000,1,3403,4573250000000,4588750000000,4507750000000,4523000000000,1272957
1649116800000000000,1,2895,15152000000000,15198000000000,14780250000000,14834750000000,557866
1649203200000000000,1,3403,4523250000000,4528750000000,4444500000000,4461750000000,1733266
1649203200000000000,1,2895,14835500000000,14844250000000,14394750000000,14449000000000,778081
1649289600000000000,1,3403,4461500000000,4517250000000,4444500000000,4501500000000,1410918
1649289600000000000,1,2895,14448000000000,14633750000000,14317000000000,14565750000000,637143
1649376000000000000,1,3403,4501750000000,4519750000000,4468750000000,4483500000000,1286041
1649376000000000000,1,2895,14566500000000,14642250000000,14310500000000,14328000000000,630512
1649548800000000000,1,3403,4488750000000,4491250000000,4476000000000,4476000000000,11920
1649548800000000000,1,2895,14345000000000,14382000000000,14313750000000,14314500000000,9006
1649635200000000000,1,3403,4476000000000,4482750000000,4403500000000,4406250000000,1382335
